Cancer Type,Gender,Race,Year,Survival Rate
Leukemia,total,White,1973,0.22
Leukemia,total,White,1977,0.345
Leukemia,total,White,1980,0.367
Leukemia,total,White,1983,0.381
Leukemia,total,White,1986,0.416
Leukemia,total,White,1989,0.439
Leukemia,total,White,1992,0.464
Leukemia,total,White,1995,0.486
Leukemia,total,White,1998,0.496
Leukemia,total,White,2001,0.52
Leukemia,total,White,2006,0.604
Leukemia,total,White,2013,0.648
Liver,females,All races,1977,0.063
Liver,females,All races,1980,0.054
Liver,females,All races,1983,0.052
Liver,females,All races,1986,0.095
Liver,females,All races,1989,0.08
Liver,females,All races,1992,0.07
Liver,females,All races,1995,0.061
Liver,females,All races,1998,0.091
Liver,females,All races,2001,0.122
Liver,females,All races,2006,0.156
Liver,females,All races,2013,0.178
Liver,males,All races,1977,0.018
Liver,males,All races,1980,0.022
Liver,males,All races,1983,0.029
Liver,males,All races,1986,0.037
Liver,males,All races,1989,0.032
Liver,males,All races,1992,0.05
Liver,males,All races,1995,0.053
Liver,males,All races,1998,0.083
Liver,males,All races,2001,0.109
Liver,males,All races,2006,0.158
Liver,males,All races,2013,0.187
Liver,total,All races,1977,0.034
Liver,total,All races,1980,0.033
Liver,total,All races,1983,0.037
Liver,total,All races,1986,0.057
Liver,total,All races,1989,0.049
Liver,total,All races,1992,0.056
Liver,total,All races,1995,0.056
Liver,total,All races,1998,0.086
Liver,total,All races,2001,0.113
Liver,total,All races,2006,0.157
Liver,total,All races,2013,0.185
Liver,females,Black,1977,0.056
Liver,females,Black,1980,0.05
Liver,females,Black,1983,0.047
Liver,females,Black,1986,0.091
Liver,females,Black,1989,0.049
Liver,females,Black,1992,0.036
Liver,females,Black,1995,0.073
Liver,females,Black,1998,0.02
Liver,females,Black,2001,0.095
Liver,females,Black,2006,0.16
Liver,females,Black,2013,0.13
Liver,males,Black,1977,0
Liver,males,Black,1980,0.03
Liver,males,Black,1983,0.021
Liver,males,Black,1986,0.021
Liver,males,Black,1989,0.016
Liver,males,Black,1992,0.02
Liver,males,Black,1995,0.028
Liver,males,Black,1998,0.059
Liver,males,Black,2001,0.068
Liver,males,Black,2006,0.085
Liver,males,Black,2013,0.143
Liver,total,Black,1977,0.018
Liver,total,Black,1980,0.036
Liver,total,Black,1983,0.028
Liver,total,Black,1986,0.044
Liver,total,Black,1989,0.027
Liver,total,Black,1992,0.026
Liver,total,Black,1995,0.04
Liver,total,Black,1998,0.046
Liver,total,Black,2001,0.076
Liver,total,Black,2006,0.105
Liver,total,Black,2013,0.14
Liver,females,White,1977,0.058
Liver,females,White,1980,0.048
Liver,females,White,1983,0.054
Liver,females,White,1986,0.091
Liver,females,White,1989,0.094
Liver,females,White,1992,0.083
Liver,females,White,1995,0.057
Liver,females,White,1998,0.102
Liver,females,White,2001,0.117
Liver,females,White,2006,0.139
Liver,females,White,2013,0.168
Liver,males,White,1977,0.019
Liver,males,White,1980,0.022
Liver,males,White,1983,0.03
Liver,males,White,1986,0.037
Liver,males,White,1989,0.034
Liver,males,White,1992,0.051
Liver,males,White,1995,0.049
Liver,males,White,1998,0.076
Liver,males,White,2001,0.097
Liver,males,White,2006,0.156
Liver,males,White,2013,0.18
Liver,total,White,1977,0.034
Liver,total,White,1980,0.033
Liver,total,White,1983,0.039
Liver,total,White,1986,0.057
Liver,total,White,1989,0.057
Liver,total,White,1992,0.062
Liver,total,White,1995,0.052
Liver,total,White,1998,0.084
Liver,total,White,2001,0.103
Liver,total,White,2006,0.152
Liver,total,White,2013,0.177
Lung and bronchus,females,All races,1977,0.153
Myeloma,females,All races,1977,0.253
Ovary,females,All races,1977,0.36
Pancreas,females,All races,1977,0.022
Skin,females,All races,1977,0.863
Stomach,females,All races,1977,0.166
Thyroid,females,All races,1977,0.925
Lung and bronchus,females,All races,1980,0.163
Myeloma,females,All races,1980,0.275
Ovary,females,All races,1980,0.377
Pancreas,females,All races,1980,0.03
Skin,females,All races,1980,0.877
Stomach,females,All races,1980,0.189
Thyroid,females,All races,1980,0.936
Lung and bronchus,females,All races,1983,0.164
Myeloma,females,All races,1983,0.294
Ovary,females,All races,1983,0.389
Pancreas,females,All races,1983,0.031
Skin,females,All races,1983,0.873
Stomach,females,All races,1983,0.187
Thyroid,females,All races,1983,0.939
Lung and bronchus,females,All races,1986,0.16
Myeloma,females,All races,1986,0.269
Ovary,females,All races,1986,0.384
Pancreas,females,All races,1986,0.035
Skin,females,All races,1986,0.91
Stomach,females,All races,1986,0.209
Thyroid,females,All races,1986,0.943
Lung and bronchus,females,All races,1989,0.15
Myeloma,females,All races,1989,0.255
Ovary,females,All races,1989,0.382
Pancreas,females,All races,1989,0.037
Skin,females,All races,1989,0.915
Stomach,females,All races,1989,0.243
Thyroid,females,All races,1989,0.952
Lung and bronchus,females,All races,1992,0.159
Myeloma,females,All races,1992,0.279
Ovary,females,All races,1992,0.405
Pancreas,females,All races,1992,0.045
Skin,females,All races,1992,0.918
Stomach,females,All races,1992,0.254
Thyroid,females,All races,1992,0.955
Lung and bronchus,females,All races,1995,0.169
Myeloma,females,All races,1995,0.31
Ovary,females,All races,1995,0.415
Pancreas,females,All races,1995,0.043
Skin,females,All races,1995,0.926
Stomach,females,All races,1995,0.226
Thyroid,females,All races,1995,0.967
Lung and bronchus,females,All races,1998,0.168
Myeloma,females,All races,1998,0.303
Ovary,females,All races,1998,0.439
Pancreas,females,All races,1998,0.041
Skin,females,All races,1998,0.927
Stomach,females,All races,1998,0.242
Thyroid,females,All races,1998,0.969
Lung and bronchus,females,All races,2001,0.179
Myeloma,females,All races,2001,0.319
Ovary,females,All races,2001,0.439
Pancreas,females,All races,2001,0.05
Skin,females,All races,2001,0.946
Stomach,females,All races,2001,0.252
Thyroid,females,All races,2001,0.971
Lung and bronchus,females,All races,2006,0.192
Myeloma,females,All races,2006,0.429
Ovary,females,All races,2006,0.443
Pancreas,females,All races,2006,0.065
Skin,females,All races,2006,0.952
Stomach,females,All races,2006,0.308
Thyroid,females,All races,2006,0.984
Lung and bronchus,females,All races,2013,0.226
Myeloma,females,All races,2013,0.518
Ovary,females,All races,2013,0.467
Pancreas,females,All races,2013,0.083
Skin,females,All races,2013,0.957
Stomach,females,All races,2013,0.346
Thyroid,females,All races,2013,0.987
Lung and bronchus,males,All races,1977,0.111
Myeloma,males,All races,1977,0.239
Pancreas,males,All races,1977,0.026
Prostate,males,All races,1977,0.678
Skin,males,All races,1977,0.775
Stomach,males,All races,1977,0.144
Thyroid,males,All races,1977,0.911
Lung and bronchus,males,All races,1980,0.113
Myeloma,males,All races,1980,0.244
Pancreas,males,All races,1980,0.027
Prostate,males,All races,1980,0.701
Skin,males,All races,1980,0.777
Stomach,males,All races,1980,0.143
Thyroid,males,All races,1980,0.872
Lung and bronchus,males,All races,1983,0.115
Myeloma,males,All races,1983,0.257
Pancreas,males,All races,1983,0.024
Prostate,males,All races,1983,0.72
Skin,males,All races,1983,0.784
Stomach,males,All races,1983,0.164
Thyroid,males,All races,1983,0.922
Lung and bronchus,males,All races,1986,0.112
Myeloma,males,All races,1986,0.277
Pancreas,males,All races,1986,0.023
Prostate,males,All races,1986,0.752
Skin,males,All races,1986,0.826
Stomach,males,All races,1986,0.155
Thyroid,males,All races,1986,0.898
Lung and bronchus,males,All races,1989,0.119
Myeloma,males,All races,1989,0.289
Pancreas,males,All races,1989,0.033
Prostate,males,All races,1989,0.828
Skin,males,All races,1989,0.849
Stomach,males,All races,1989,0.17
Thyroid,males,All races,1989,0.916
Lung and bronchus,males,All races,1992,0.121
Myeloma,males,All races,1992,0.305
Pancreas,males,All races,1992,0.041
Prostate,males,All races,1992,0.929
Skin,males,All races,1992,0.87
Stomach,males,All races,1992,0.181
Thyroid,males,All races,1992,0.905
Lung and bronchus,males,All races,1995,0.125
Myeloma,males,All races,1995,0.322
Pancreas,males,All races,1995,0.037
Prostate,males,All races,1995,0.952
Skin,males,All races,1995,0.873
Stomach,males,All races,1995,0.201
Thyroid,males,All races,1995,0.916
Lung and bronchus,males,All races,1998,0.129
Myeloma,males,All races,1998,0.245
Pancreas,males,All races,1998,0.046
Prostate,males,All races,1998,0.974
Skin,males,All races,1998,0.895
Stomach,males,All races,1998,0.21
Thyroid,males,All races,1998,0.91
Lung and bronchus,males,All races,2001,0.131
Myeloma,males,All races,2001,0.368
Pancreas,males,All races,2001,0.052
Prostate,males,All races,2001,0.993
Skin,males,All races,2001,0.901
Stomach,males,All races,2001,0.234
Thyroid,males,All races,2001,0.943
Lung and bronchus,males,All races,2006,0.145
Myeloma,males,All races,2006,0.449
Pancreas,males,All races,2006,0.057
Prostate,males,All races,2006,0.996
Skin,males,All races,2006,0.913
Stomach,males,All races,2006,0.261
Thyroid,males,All races,2006,0.949
Lung and bronchus,males,All races,2013,0.166
Myeloma,males,All races,2013,0.504
Pancreas,males,All races,2013,0.092
Prostate,males,All races,2013,0.992
Skin,males,All races,2013,0.92
Stomach,males,All races,2013,0.289
Thyroid,males,All races,2013,0.962
Lung and bronchus,total,All races,1977,0.122
Myeloma,total,All races,1977,0.246
Ovary,total,All races,1977,0.36
Pancreas,total,All races,1977,0.025
Prostate,total,All races,1977,0.678
Skin,total,All races,1977,0.819
Stomach,total,All races,1977,0.152
Thyroid,total,All races,1977,0.921
Lung and bronchus,total,All races,1980,0.128
Myeloma,total,All races,1980,0.259
Ovary,total,All races,1980,0.377
Pancreas,total,All races,1980,0.029
Prostate,total,All races,1980,0.701
Skin,total,All races,1980,0.828
Stomach,total,All races,1980,0.161
Thyroid,total,All races,1980,0.921
Lung and bronchus,total,All races,1983,0.131
Myeloma,total,All races,1983,0.275
Ovary,total,All races,1983,0.389
Pancreas,total,All races,1983,0.027
Prostate,total,All races,1983,0.72
Skin,total,All races,1983,0.828
Stomach,total,All races,1983,0.172
Thyroid,total,All races,1983,0.936
Lung and bronchus,total,All races,1986,0.128
Myeloma,total,All races,1986,0.273
Ovary,total,All races,1986,0.384
Pancreas,total,All races,1986,0.029
Prostate,total,All races,1986,0.752
Skin,total,All races,1986,0.866
Stomach,total,All races,1986,0.176
Thyroid,total,All races,1986,0.932
Lung and bronchus,total,All races,1989,0.13
Myeloma,total,All races,1989,0.272
Ovary,total,All races,1989,0.382
Pancreas,total,All races,1989,0.035
Prostate,total,All races,1989,0.828
Skin,total,All races,1989,0.881
Stomach,total,All races,1989,0.197
Thyroid,total,All races,1989,0.944
Lung and bronchus,total,All races,1992,0.136
Myeloma,total,All races,1992,0.293
Ovary,total,All races,1992,0.405
Pancreas,total,All races,1992,0.043
Prostate,total,All races,1992,0.929
Skin,total,All races,1992,0.892
Stomach,total,All races,1992,0.209
Thyroid,total,All races,1992,0.943
Lung and bronchus,total,All races,1995,0.143
Myeloma,total,All races,1995,0.316
Ovary,total,All races,1995,0.415
Pancreas,total,All races,1995,0.04
Prostate,total,All races,1995,0.952
Skin,total,All races,1995,0.897
Stomach,total,All races,1995,0.21
Thyroid,total,All races,1995,0.954
Lung and bronchus,total,All races,1998,0.146
Myeloma,total,All races,1998,0.325
Ovary,total,All races,1998,0.439
Pancreas,total,All races,1998,0.044
Prostate,total,All races,1998,0.974
Skin,total,All races,1998,0.91
Stomach,total,All races,1998,0.223
Thyroid,total,All races,1998,0.956
Lung and bronchus,total,All races,2001,0.153
Myeloma,total,All races,2001,0.345
Ovary,total,All races,2001,0.439
Pancreas,total,All races,2001,0.051
Prostate,total,All races,2001,0.993
Skin,total,All races,2001,0.922
Stomach,total,All races,2001,0.241
Thyroid,total,All races,2001,0.965
Lung and bronchus,total,All races,2006,0.167
Myeloma,total,All races,2006,0.44
Ovary,total,All races,2006,0.443
Pancreas,total,All races,2006,0.061
Prostate,total,All races,2006,0.996
Skin,total,All races,2006,0.931
Stomach,total,All races,2006,0.279
Thyroid,total,All races,2006,0.976
Lung and bronchus,total,All races,2013,0.195
Myeloma,total,All races,2013,0.51
Ovary,total,All races,2013,0.467
Pancreas,total,All races,2013,0.087
Prostate,total,All races,2013,0.992
Skin,total,All races,2013,0.936
Stomach,total,All races,2013,0.311
Thyroid,total,All races,2013,0.982
Lung and bronchus,females,Black,1963,0.06
Ovary,females,Black,1963,0.32
Pancreas,females,Black,1963,0.03
Stomach,females,Black,1963,0.14
Lung and bronchus,females,Black,1973,0.1
Ovary,females,Black,1973,0.32
Pancreas,females,Black,1973,0.03
Stomach,females,Black,1973,0.1
Lung and bronchus,females,Black,1977,0.138
Myeloma,females,Black,1977,0.295
Ovary,females,Black,1977,0.413
Pancreas,females,Black,1977,0.019
Stomach,females,Black,1977,0.161
Thyroid,females,Black,1977,0.91
Lung and bronchus,females,Black,1980,0.178
Myeloma,females,Black,1980,0.375
Ovary,females,Black,1980,0.388
Pancreas,females,Black,1980,0.07
Stomach,females,Black,1980,0.18
Thyroid,females,Black,1980,0.955
Lung and bronchus,females,Black,1983,0.149
Myeloma,females,Black,1983,0.279
Ovary,females,Black,1983,0.375
Pancreas,females,Black,1983,0.032
Stomach,females,Black,1983,0.167
Thyroid,females,Black,1983,0.932
Lung and bronchus,females,Black,1986,0.128
Myeloma,females,Black,1986,0.303
Ovary,females,Black,1986,0.394
Pancreas,females,Black,1986,0.053
Stomach,females,Black,1986,0.221
Thyroid,females,Black,1986,0.903
Lung and bronchus,females,Black,1989,0.111
Myeloma,females,Black,1989,0.303
Ovary,females,Black,1989,0.339
Pancreas,females,Black,1989,0.058
Skin,females,Black,1989,0.895
Stomach,females,Black,1989,0.225
Thyroid,females,Black,1989,0.923
Lung and bronchus,females,Black,1992,0.127
Myeloma,females,Black,1992,0.306
Ovary,females,Black,1992,0.355
Pancreas,females,Black,1992,0.04
Stomach,females,Black,1992,0.237
Thyroid,females,Black,1992,0.862
Lung and bronchus,females,Black,1995,0.157
Myeloma,females,Black,1995,0.357
Ovary,females,Black,1995,0.415
Pancreas,females,Black,1995,0.037
Stomach,females,Black,1995,0.219
Thyroid,females,Black,1995,0.943
Lung and bronchus,females,Black,1998,0.15
Myeloma,females,Black,1998,0.304
Ovary,females,Black,1998,0.392
Pancreas,females,Black,1998,0.035
Skin,females,Black,1998,0.786
Stomach,females,Black,1998,0.253
Thyroid,females,Black,1998,0.964
Lung and bronchus,females,Black,2001,0.152
Myeloma,females,Black,2001,0.32
Ovary,females,Black,2001,0.356
Pancreas,females,Black,2001,0.074
Skin,females,Black,2001,0.761
Stomach,females,Black,2001,0.207
Thyroid,females,Black,2001,0.924
Lung and bronchus,females,Black,2006,0.144
Myeloma,females,Black,2006,0.463
Ovary,females,Black,2006,0.373
Pancreas,females,Black,2006,0.055
Skin,females,Black,2006,0.745
Stomach,females,Black,2006,0.349
Thyroid,females,Black,2006,0.967
Lung and bronchus,females,Black,2013,0.207
Myeloma,females,Black,2013,0.54
Ovary,females,Black,2013,0.385
Pancreas,females,Black,2013,0.077
Skin,females,Black,2013,0.749
Stomach,females,Black,2013,0.385
Thyroid,females,Black,2013,0.979
Lung and bronchus,males,Black,1963,0.05
Pancreas,males,Black,1963,0
Prostate,males,Black,1963,0.35
Stomach,males,Black,1963,0.05
Lung and bronchus,males,Black,1973,0.06
Pancreas,males,Black,1973,0
Prostate,males,Black,1973,0.55
Stomach,males,Black,1973,0.15
Lung and bronchus,males,Black,1977,0.105
Myeloma,males,Black,1977,0.289
Pancreas,males,Black,1977,0.025
Prostate,males,Black,1977,0.607
Stomach,males,Black,1977,0.161
Lung and bronchus,males,Black,1980,0.097
Myeloma,males,Black,1980,0.274
Pancreas,males,Black,1980,0.045
Prostate,males,Black,1980,0.621
Stomach,males,Black,1980,0.156
Thyroid,males,Black,1980,0.68
Lung and bronchus,males,Black,1983,0.101
Myeloma,males,Black,1983,0.296
Pancreas,males,Black,1983,0.037
Prostate,males,Black,1983,0.628
Stomach,males,Black,1983,0.162
Thyroid,males,Black,1983,1
Lung and bronchus,males,Black,1986,0.103
Myeloma,males,Black,1986,0.333
Pancreas,males,Black,1986,0.039
Prostate,males,Black,1986,0.657
Stomach,males,Black,1986,0.169
Thyroid,males,Black,1986,0.855
Lung and bronchus,males,Black,1989,0.108
Myeloma,males,Black,1989,0.297
Pancreas,males,Black,1989,0.051
Prostate,males,Black,1989,0.711
Stomach,males,Black,1989,0.166
Thyroid,males,Black,1989,0.912
Lung and bronchus,males,Black,1992,0.093
Myeloma,males,Black,1992,0.38
Pancreas,males,Black,1992,0.032
Prostate,males,Black,1992,0.844
Stomach,males,Black,1992,0.22
Thyroid,males,Black,1992,0.845
Lung and bronchus,males,Black,1995,0.112
Myeloma,males,Black,1995,0.349
Pancreas,males,Black,1995,0.036
Prostate,males,Black,1995,0.917
Skin,males,Black,1995,0.666
Stomach,males,Black,1995,0.175
Thyroid,males,Black,1995,0.878
Lung and bronchus,males,Black,1998,0.107
Myeloma,males,Black,1998,0.328
Pancreas,males,Black,1998,0.031
Prostate,males,Black,1998,0.949
Skin,males,Black,1998,0.68
Stomach,males,Black,1998,0.204
Thyroid,males,Black,1998,0.865
Lung and bronchus,males,Black,2001,0.108
Myeloma,males,Black,2001,0.367
Pancreas,males,Black,2001,0.037
Prostate,males,Black,2001,0.973
Skin,males,Black,2001,0.696
Stomach,males,Black,2001,0.25
Thyroid,males,Black,2001,0.884
Lung and bronchus,males,Black,2006,0.127
Myeloma,males,Black,2006,0.422
Pancreas,males,Black,2006,0.043
Prostate,males,Black,2006,0.978
Skin,males,Black,2006,0.7
Stomach,males,Black,2006,0.236
Thyroid,males,Black,2006,0.95
Lung and bronchus,males,Black,2013,0.142
Myeloma,males,Black,2013,0.505
Pancreas,males,Black,2013,0.074
Prostate,males,Black,2013,0.974
Skin,males,Black,2013,0.595
Stomach,males,Black,2013,0.257
Thyroid,males,Black,2013,0.908
Lung and bronchus,total,Black,1963,0.05
Ovary,total,Black,1963,0.32
Pancreas,total,Black,1963,0.01
Prostate,total,Black,1963,0.35
Stomach,total,Black,1963,0.08
Lung and bronchus,total,Black,1973,0.07
Ovary,total,Black,1973,0.32
Pancreas,total,Black,1973,0.02
Prostate,total,Black,1973,0.55
Stomach,total,Black,1973,0.13
Lung and bronchus,total,Black,1977,0.112
Myeloma,total,Black,1977,0.293
Ovary,total,Black,1977,0.413
Pancreas,total,Black,1977,0.023
Prostate,total,Black,1977,0.607
Skin,total,Black,1977,0.567
Stomach,total,Black,1977,0.161
Thyroid,total,Black,1977,0.899
Lung and bronchus,total,Black,1980,0.117
Myeloma,total,Black,1980,0.325
Ovary,total,Black,1980,0.388
Pancreas,total,Black,1980,0.057
Prostate,total,Black,1980,0.621
Skin,total,Black,1980,0.598
Stomach,total,Black,1980,0.164
Thyroid,total,Black,1980,0.902
Lung and bronchus,total,Black,1983,0.113
Myeloma,total,Black,1983,0.289
Ovary,total,Black,1983,0.375
Pancreas,total,Black,1983,0.036
Prostate,total,Black,1983,0.628
Skin,total,Black,1983,0.619
Stomach,total,Black,1983,0.164
Thyroid,total,Black,1983,0.964
Lung and bronchus,total,Black,1986,0.111
Myeloma,total,Black,1986,0.318
Ovary,total,Black,1986,0.394
Pancreas,total,Black,1986,0.047
Prostate,total,Black,1986,0.657
Skin,total,Black,1986,0.723
Stomach,total,Black,1986,0.191
Thyroid,total,Black,1986,0.893
Lung and bronchus,total,Black,1989,0.109
Myeloma,total,Black,1989,0.3
Ovary,total,Black,1989,0.339
Pancreas,total,Black,1989,0.055
Prostate,total,Black,1989,0.711
Skin,total,Black,1989,0.786
Stomach,total,Black,1989,0.188
Thyroid,total,Black,1989,0.923
Lung and bronchus,total,Black,1992,0.105
Myeloma,total,Black,1992,0.342
Ovary,total,Black,1992,0.355
Pancreas,total,Black,1992,0.036
Prostate,total,Black,1992,0.844
Skin,total,Black,1992,0.596
Stomach,total,Black,1992,0.227
Thyroid,total,Black,1992,0.858
Lung and bronchus,total,Black,1995,0.128
Myeloma,total,Black,1995,0.354
Ovary,total,Black,1995,0.415
Pancreas,total,Black,1995,0.037
Prostate,total,Black,1995,0.917
Skin,total,Black,1995,0.695
Stomach,total,Black,1995,0.193
Thyroid,total,Black,1995,0.932
Lung and bronchus,total,Black,1998,0.123
Myeloma,total,Black,1998,0.314
Ovary,total,Black,1998,0.392
Pancreas,total,Black,1998,0.034
Prostate,total,Black,1998,0.949
Skin,total,Black,1998,0.739
Stomach,total,Black,1998,0.226
Thyroid,total,Black,1998,0.95
Lung and bronchus,total,Black,2001,0.126
Myeloma,total,Black,2001,0.341
Ovary,total,Black,2001,0.356
Pancreas,total,Black,2001,0.056
Prostate,total,Black,2001,0.973
Skin,total,Black,2001,0.732
Stomach,total,Black,2001,0.232
Thyroid,total,Black,2001,0.92
Lung and bronchus,total,Black,2006,0.134
Myeloma,total,Black,2006,0.444
Ovary,total,Black,2006,0.373
Pancreas,total,Black,2006,0.05
Prostate,total,Black,2006,0.978
Skin,total,Black,2006,0.729
Stomach,total,Black,2006,0.286
Thyroid,total,Black,2006,0.966
Lung and bronchus,total,Black,2013,0.173
Myeloma,total,Black,2013,0.523
Ovary,total,Black,2013,0.385
Pancreas,total,Black,2013,0.075
Prostate,total,Black,2013,0.974
Skin,total,Black,2013,0.69
Stomach,total,Black,2013,0.314
Thyroid,total,Black,2013,0.969
Lung and bronchus,females,White,1963,0.11
Myeloma,females,White,1963,0.1
Ovary,females,White,1963,0.32
Pancreas,females,White,1963,0.02
Skin,females,White,1963,0.68
Stomach,females,White,1963,0.13
Thyroid,females,White,1963,0.87
Lung and bronchus,females,White,1973,0.14
Myeloma,females,White,1973,0.17
Ovary,females,White,1973,0.36
Pancreas,females,White,1973,0.02
Skin,females,White,1973,0.75
Stomach,females,White,1973,0.14
Thyroid,females,White,1973,0.87
Lung and bronchus,females,White,1977,0.154
Myeloma,females,White,1977,0.247
Ovary,females,White,1977,0.353
Pancreas,females,White,1977,0.023
Skin,females,White,1977,0.862
Stomach,females,White,1977,0.158
Thyroid,females,White,1977,0.922
Lung and bronchus,females,White,1980,0.162
Myeloma,females,White,1980,0.255
Ovary,females,White,1980,0.369
Pancreas,females,White,1980,0.025
Skin,females,White,1980,0.879
Stomach,females,White,1980,0.182
Thyroid,females,White,1980,0.927
Lung and bronchus,females,White,1983,0.166
Myeloma,females,White,1983,0.289
Ovary,females,White,1983,0.385
Pancreas,females,White,1983,0.03
Skin,females,White,1983,0.872
Stomach,females,White,1983,0.175
Thyroid,females,White,1983,0.937
Lung and bronchus,females,White,1986,0.163
Myeloma,females,White,1986,0.262
Ovary,females,White,1986,0.375
Pancreas,females,White,1986,0.031
Skin,females,White,1986,0.91
Stomach,females,White,1986,0.209
Thyroid,females,White,1986,0.944
Lung and bronchus,females,White,1989,0.153
Myeloma,females,White,1989,0.245
Ovary,females,White,1989,0.382
Pancreas,females,White,1989,0.033
Skin,females,White,1989,0.913
Stomach,females,White,1989,0.231
Thyroid,females,White,1989,0.949
Lung and bronchus,females,White,1992,0.162
Myeloma,females,White,1992,0.269
Ovary,females,White,1992,0.404
Pancreas,females,White,1992,0.045
Skin,females,White,1992,0.918
Stomach,females,White,1992,0.232
Thyroid,females,White,1992,0.96
Lung and bronchus,females,White,1995,0.171
Myeloma,females,White,1995,0.295
Ovary,females,White,1995,0.406
Pancreas,females,White,1995,0.042
Skin,females,White,1995,0.926
Stomach,females,White,1995,0.219
Thyroid,females,White,1995,0.969
Lung and bronchus,females,White,1998,0.17
Myeloma,females,White,1998,0.299
Ovary,females,White,1998,0.433
Pancreas,females,White,1998,0.036
Skin,females,White,1998,0.927
Stomach,females,White,1998,0.232
Thyroid,females,White,1998,0.973
Lung and bronchus,females,White,2001,0.18
Myeloma,females,White,2001,0.315
Ovary,females,White,2001,0.436
Pancreas,females,White,2001,0.044
Skin,females,White,2001,0.946
Stomach,females,White,2001,0.244
Thyroid,females,White,2001,0.974
Lung and bronchus,females,White,2006,0.197
Myeloma,females,White,2006,0.42
Ovary,females,White,2006,0.439
Pancreas,females,White,2006,0.066
Skin,females,White,2006,0.954
Stomach,females,White,2006,0.293
Thyroid,females,White,2006,0.985
Lung and bronchus,females,White,2013,0.226
Myeloma,females,White,2013,0.511
Ovary,females,White,2013,0.462
Pancreas,females,White,2013,0.083
Skin,females,White,2013,0.957
Stomach,females,White,2013,0.331
Thyroid,females,White,2013,0.99
Lung and bronchus,males,White,1963,0.07
Myeloma,males,White,1963,0.13
Pancreas,males,White,1963,0.01
Prostate,males,White,1963,0.5
Skin,males,White,1963,0.51
Stomach,males,White,1963,0.1
Thyroid,males,White,1963,0.75
Lung and bronchus,males,White,1973,0.09
Myeloma,males,White,1973,0.2
Pancreas,males,White,1973,0.02
Prostate,males,White,1973,0.63
Skin,males,White,1973,0.62
Stomach,males,White,1973,0.12
Thyroid,males,White,1973,0.82
Lung and bronchus,males,White,1977,0.111
Myeloma,males,White,1977,0.236
Pancreas,males,White,1977,0.027
Prostate,males,White,1977,0.685
Skin,males,White,1977,0.777
Stomach,males,White,1977,0.131
Thyroid,males,White,1977,0.907
Lung and bronchus,males,White,1980,0.115
Myeloma,males,White,1980,0.241
Pancreas,males,White,1980,0.026
Prostate,males,White,1980,0.712
Skin,males,White,1980,0.779
Stomach,males,White,1980,0.136
Thyroid,males,White,1980,0.875
Lung and bronchus,males,White,1983,0.117
Myeloma,males,White,1983,0.254
Pancreas,males,White,1983,0.021
Prostate,males,White,1983,0.731
Skin,males,White,1983,0.784
Stomach,males,White,1983,0.154
Thyroid,males,White,1983,0.909
Lung and bronchus,males,White,1986,0.112
Myeloma,males,White,1986,0.258
Pancreas,males,White,1986,0.021
Prostate,males,White,1986,0.764
Skin,males,White,1986,0.822
Stomach,males,White,1986,0.143
Thyroid,males,White,1986,0.894
Lung and bronchus,males,White,1989,0.12
Myeloma,males,White,1989,0.291
Pancreas,males,White,1989,0.031
Prostate,males,White,1989,0.844
Skin,males,White,1989,0.849
Stomach,males,White,1989,0.155
Thyroid,males,White,1989,0.915
Lung and bronchus,males,White,1992,0.125
Myeloma,males,White,1992,0.296
Pancreas,males,White,1992,0.042
Prostate,males,White,1992,0.941
Skin,males,White,1992,0.871
Stomach,males,White,1992,0.161
Thyroid,males,White,1992,0.916
Lung and bronchus,males,White,1995,0.126
Myeloma,males,White,1995,0.313
Pancreas,males,White,1995,0.036
Prostate,males,White,1995,0.959
Skin,males,White,1995,0.871
Stomach,males,White,1995,0.189
Thyroid,males,White,1995,0.915
Lung and bronchus,males,White,1998,0.131
Myeloma,males,White,1998,0.343
Pancreas,males,White,1998,0.047
Prostate,males,White,1998,0.979
Skin,males,White,1998,0.893
Stomach,males,White,1998,0.186
Thyroid,males,White,1998,0.913
Lung and bronchus,males,White,2001,0.133
Myeloma,males,White,2001,0.368
Pancreas,males,White,2001,0.055
Prostate,males,White,2001,0.997
Skin,males,White,2001,0.902
Stomach,males,White,2001,0.21
Thyroid,males,White,2001,0.95
Lung and bronchus,males,White,2006,0.148
Myeloma,males,White,2006,0.462
Pancreas,males,White,2006,0.059
Prostate,males,White,2006,0.998
Skin,males,White,2006,0.914
Stomach,males,White,2006,0.255
Thyroid,males,White,2006,0.951
Lung and bronchus,males,White,2013,0.169
Myeloma,males,White,2013,0.501
Pancreas,males,White,2013,0.093
Prostate,males,White,2013,0.996
Skin,males,White,2013,0.919
Stomach,males,White,2013,0.281
Thyroid,males,White,2013,0.965
Lung and bronchus,total,White,1963,0.08
Myeloma,total,White,1963,0.12
Ovary,total,White,1963,0.32
Pancreas,total,White,1963,0.01
Prostate,total,White,1963,0.5
Skin,total,White,1963,0.6
Stomach,total,White,1963,0.11
Thyroid,total,White,1963,0.83
Lung and bronchus,total,White,1973,0.1
Myeloma,total,White,1973,0.19
Ovary,total,White,1973,0.36
Pancreas,total,White,1973,0.02
Prostate,total,White,1973,0.63
Skin,total,White,1973,0.68
Stomach,total,White,1973,0.13
Thyroid,total,White,1973,0.86
